variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element,gflop_per_s_3flop_convention,x_payload_gb_per_s
baseline_v3,16384,2048,1,1,1,41075215,42,21978482.1873,0.041075215,398878.009525,816902163.507,1.22413679957,2.45070649052,6.53521730805
baseline_v3,16384,2048,1,1,2,37026548,42,21978482.1873,0.037026548,442493.315877,906226310.916,1.1034771204,2.71867893275,7.24981048733
baseline_v3,16384,2048,1,1,3,37545861,42,21978482.1873,0.037545861,436372.999943,893691903.883,1.11895385385,2.68107571165,7.14953523106
baseline_v3,16384,2048,1,1,4,36869759,42,21978482.1873,0.036869759,444375.022902,910080046.902,1.09880444407,2.73024014071,7.28064037522
baseline_v3,16384,2048,1,1,5,35413393,42,21978482.1873,0.035413393,462649.822907,947506837.314,1.05540135503,2.84252051194,7.58005469851
baseline_v3,16384,2048,1,1,6,35156253,42,21978482.1873,0.035156253,466033.73801,954437095.444,1.04773798585,2.86331128633,7.63549676355
baseline_v3,16384,4096,1,2,1,79258564,42,44120056.6544,0.079258564,206715.831995,846708047.852,1.18104463816,2.54012414356,6.77366438282
baseline_v3,16384,4096,1,2,2,75984339,42,44120056.6544,0.075984339,215623.37997,883193364.359,1.13225488365,2.64958009308,7.06554691487
baseline_v3,16384,4096,1,2,3,80683624,42,44120056.6544,0.080683624,203064.750785,831753219.216,1.20227968693,2.49525965765,6.65402575373
baseline_v3,16384,4096,1,2,4,82396147,42,44120056.6544,0.082396147,198844.249355,814466045.36,1.2277982682,2.44339813608,6.51572836288
baseline_v3,16384,4096,1,2,5,75837039,42,44120056.6544,0.075837039,216042.190149,884908810.852,1.1300599426,2.65472643255,7.07927048681
baseline_v3,16384,4096,1,2,6,74838501,42,44120056.6544,0.074838501,218924.748372,896715769.334,1.11518056691,2.690147308,7.17372615467
baseline_v3,16384,512,1,3,1,8662462,42,5365761.84264,0.008662462,1891379.14833,968386123.945,1.03264594078,2.90515837183,7.74708899156
baseline_v3,16384,512,1,3,2,8810004,42,5365761.84264,0.008810004,1859704.03646,952168466.666,1.05023431778,2.8565054,7.61734773333
baseline_v3,16384,512,1,3,3,8576467,42,5365761.84264,0.008576467,1910343.73478,978095992.208,1.02239453793,2.93428797662,7.82476793766
baseline_v3,16384,512,1,3,4,9011346,42,5365761.84264,0.009011346,1818152.36037,930894008.509,1.07423615456,2.79268202553,7.44715206807
baseline_v3,16384,512,1,3,5,8676985,42,5365761.84264,0.008676985,1888213.47507,966765299.237,1.03437721729,2.90029589771,7.7341223939
baseline_v3,16384,512,1,3,6,9065334,42,5365761.84264,0.009065334,1807324.47365,925350130.508,1.08067202568,2.77605039152,7.40280104407
baseline_v3,16384,256,1,4,1,4211192,42,2602783.10434,0.004211192,3890584.89853,995989734.023,1.00402641296,2.98796920207,7.96791787218
baseline_v3,16384,256,1,4,2,4112226,42,2602783.10434,0.004112226,3984216.82077,1019959506.12,0.980431079865,3.05987851835,8.15967604893
baseline_v3,16384,256,1,4,3,4166886,42,2602783.10434,0.004166886,3931953.02199,1006579973.63,0.993463039398,3.01973992089,8.05263978904
baseline_v3,16384,256,1,4,4,4658430,42,2602783.10434,0.00465843,3517064.76216,900368579.114,1.11065626144,2.70110573734,7.20294863291
baseline_v3,16384,256,1,4,5,4236463,42,2602783.10434,0.004236463,3867377.10208,990048538.132,1.01005148888,2.9701456144,7.92038830506
baseline_v3,16384,256,1,4,6,4163191,42,2602783.10434,0.004163191,3935442.78896,1007473353.97,0.992582082748,3.02242006192,8.05978683178
baseline_v3,16384,64,1,5,1,1018370,42,660083.659795,0.00101837,16088455.0802,1029661125.13,0.971193313599,3.08898337539,8.23728900105
baseline_v3,16384,64,1,5,2,971222,42,660083.659795,0.000971222,16869469.596,1079646054.15,0.926229476929,3.23893816244,8.63716843317
baseline_v3,16384,64,1,5,3,985747,42,660083.659795,0.000985747,16620897.6543,1063737449.87,0.940081596375,3.19121234962,8.50989959898
baseline_v3,16384,64,1,5,4,911753,42,660083.659795,0.000911753,17969779.0959,1150065862.14,0.869515419006,3.45019758641,9.20052689709
baseline_v3,16384,64,1,5,5,862242,42,660083.659795,0.000862242,19001625.9936,1216104063.59,0.822298049927,3.64831219078,9.72883250874
baseline_v3,16384,64,1,5,6,998157,42,660083.659795,0.000998157,16414251.4655,1050512093.79,0.951916694641,3.15153628137,8.40409675031
baseline_v3,16384,1024,1,6,1,18509675,42,10771937.6728,0.018509675,885158.707541,906402516.522,1.10326260328,2.71920754957,7.25122013217
baseline_v3,16384,1024,1,6,2,18556459,42,10771937.6728,0.018556459,882927.071377,904117321.09,1.10605114698,2.71235196327,7.23293856872
baseline_v3,16384,1024,1,6,3,18192462,42,10771937.6728,0.018192462,900592.783978,922207010.794,1.0843552351,2.76662103238,7.37765608635
baseline_v3,16384,1024,1,6,4,18115473,42,10771937.6728,0.018115473,904420.215801,926126300.98,1.0797663331,2.77837890294,7.40901040784
baseline_v3,16384,1024,1,6,5,18210776,42,10771937.6728,0.018210776,899687.086371,921279576.444,1.08544683456,2.76383872933,7.37023661155
baseline_v3,16384,1024,1,6,6,17965578,42,10771937.6728,0.017965578,911966.205596,933853394.53,1.07083189487,2.80156018359,7.47082715624
baseline_v3,16384,128,1,7,1,2433651,42,1284671.27128,0.002433651,6732271.80068,861730790.487,1.1604552269,2.58519237146,6.8938463239
baseline_v3,16384,128,1,7,2,2289937,42,1284671.27128,0.002289937,7154781.98745,915812094.394,1.09192705154,2.74743628318,7.32649675515
baseline_v3,16384,128,1,7,3,1995912,42,1284671.27128,0.001995912,8208778.74375,1050723679.2,0.951725006104,3.1521710376,8.4057894336
baseline_v3,16384,128,1,7,4,2106459,42,1284671.27128,0.002106459,7777981.91182,995581684.714,1.00443792343,2.98674505414,7.96465347771
baseline_v3,16384,128,1,7,5,1916250,42,1284671.27128,0.00191625,8550032.61579,1094404174.82,0.913739204407,3.28321252446,8.75523339856
baseline_v3,16384,128,1,7,6,2412324,42,1284671.27128,0.002412324,6791790.8208,869349225.063,1.15028572083,2.60804767519,6.9547938005
baseline_v3,16384,32,1,8,1,482908,42,352736.719945,0.000482908,33927787.4875,1085689199.6,0.921073913574,3.2570675988,8.68551359679
baseline_v3,16384,32,1,8,2,592608,42,352736.719945,0.000592608,27647281.1707,884712997.462,1.13031005859,2.65413899239,7.0777039797
baseline_v3,16384,32,1,8,3,558322,42,352736.719945,0.000558322,29345073.2731,939042344.74,1.06491470337,2.81712703422,7.51233875792
baseline_v3,16384,32,1,8,4,770802,42,352736.719945,0.000770802,21255782.9378,680185054.009,1.47018814087,2.04055516203,5.44148043207
baseline_v3,16384,32,1,8,5,670225,42,352736.719945,0.000670225,24445522.0262,782256704.838,1.27835273743,2.34677011451,6.2580536387
baseline_v3,16384,32,1,8,6,496311,42,352736.719945,0.000496311,33011559.2844,1056369897.1,0.9466381073,3.1691096913,8.45095917681
baseline_v3,16384,128,2,1,7,2286380,42,1284671.27128,0.00228638,7165912.92786,917236854.766,1.09023094177,2.7517105643,7.33789483813
baseline_v3,16384,128,2,1,8,2244025,42,1284671.27128,0.002244025,7301166.43086,934549303.149,1.07003450394,2.80364790945,7.4763944252
baseline_v3,16384,128,2,1,9,2168065,42,1284671.27128,0.002168065,7556969.00231,967292032.296,1.0338139534,2.90187609689,7.73833625837
baseline_v3,16384,128,2,1,10,2365705,42,1284671.27128,0.002365705,6925631.04867,886480774.23,1.12805604935,2.65944232269,7.09184619384
baseline_v3,16384,128,2,1,11,2013994,42,1284671.27128,0.002013994,8135078.85326,1041290093.22,0.960347175598,3.12387027965,8.33032074574
baseline_v3,16384,128,2,1,12,1923547,42,1284671.27128,0.001923547,8517597.95836,1090252538.67,0.91721868515,3.27075761601,8.72202030936
baseline_v3,16384,1024,2,2,7,17424589,42,10771937.6728,0.017424589,940280.427848,962847158.117,1.0385864377,2.88854147435,7.70277726493
baseline_v3,16384,1024,2,2,8,17371301,42,10771937.6728,0.017371301,943164.821103,965800776.81,1.03541022539,2.89740233043,7.72640621448
baseline_v3,16384,1024,2,2,9,17583773,42,10771937.6728,0.017583773,931768.170574,954130606.668,1.04807454348,2.86239182,7.63304485334
baseline_v3,16384,1024,2,2,10,17592342,42,10771937.6728,0.017592342,931314.318469,953665862.112,1.04858529568,2.86099758634,7.6293268969
baseline_v3,16384,1024,2,2,11,19404837,42,10771937.6728,0.019404837,844325.566868,864589380.473,1.15661841631,2.59376814142,6.91671504378
baseline_v3,16384,1024,2,2,12,19889180,42,10771937.6728,0.01988918,823764.478978,843534826.473,1.18548750877,2.53060447942,6.74827861179
baseline_v3,16384,256,2,3,7,4493885,42,2602783.10434,0.004493885,3645843.18468,933335855.279,1.07142567635,2.80000756584,7.46668684223
baseline_v3,16384,256,2,3,8,4422826,42,2602783.10434,0.004422826,3704418.84894,948331225.33,1.05448389053,2.84499367599,7.58664980264
baseline_v3,16384,256,2,3,9,4767025,42,2602783.10434,0.004767025,3436944.42551,879857772.93,1.13654732704,2.63957331879,7.03886218344
baseline_v3,16384,256,2,3,10,4754973,42,2602783.10434,0.004754973,3445655.73769,882087868.848,1.13367390633,2.64626360654,7.05670295078
baseline_v3,16384,256,2,3,11,4428744,42,2602783.10434,0.004428744,3699468.74328,947063998.28,1.05589485168,2.84119199484,7.57651198624
baseline_v3,16384,256,2,3,12,4496130,42,2602783.10434,0.00449613,3644022.74845,932869823.604,1.07196092606,2.79860947081,7.46295858883
baseline_v3,16384,64,2,4,7,1214561,42,660083.659795,0.001214561,13489647.6999,863337452.792,1.15829563141,2.59001235837,6.90669962233
baseline_v3,16384,64,2,4,8,1042500,42,660083.659795,0.0010425,15716067.1463,1005828297.36,0.994205474854,3.01748489209,8.0466263789
baseline_v3,16384,64,2,4,9,1127760,42,660083.659795,0.00112776,14527913.7405,929786479.393,1.07551574707,2.78935943818,7.43829183514
baseline_v3,16384,64,2,4,10,1175910,42,660083.659795,0.00117591,13933039.0931,891714501.96,1.12143516541,2.67514350588,7.13371601568
baseline_v3,16384,64,2,4,11,907778,42,660083.659795,0.000907778,18048465.594,1155101798.02,0.865724563599,3.46530539405,9.24081438413
baseline_v3,16384,64,2,4,12,1110499,42,660083.659795,0.001110499,14753727.8287,944238581.034,1.05905437469,2.8327157431,7.55390864827
baseline_v3,16384,32,2,5,7,623203,42,352736.719945,0.000623203,26289988.9763,841279647.242,1.18866539001,2.52383894173,6.73023717793
baseline_v3,16384,32,2,5,8,511530,42,352736.719945,0.00051153,32029401.9901,1024940863.68,0.975666046143,3.07482259105,8.19952690947
baseline_v3,16384,32,2,5,9,1073445,42,352736.719945,0.001073445,15263008.3516,488416267.252,2.04743385315,1.46524880176,3.90733013801
baseline_v3,16384,32,2,5,10,618414,42,352736.719945,0.000618414,26493578.7353,847794519.529,1.17953109741,2.54338355859,6.78235615623
baseline_v3,16384,32,2,5,11,629607,42,352736.719945,0.000629607,26022582.341,832722634.914,1.20088005066,2.49816790474,6.66178107931
