variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element
optimized_v4,8192,64,1,1,1,358781,42,330132.910215,0.000358781,22832870.191,1461303692.22,0.684320449829
optimized_v4,8192,64,1,1,2,326491,42,330132.910215,0.000326491,25091043.8573,1605826806.86,0.622732162476
optimized_v4,8192,64,1,1,3,512970,42,330132.910215,0.00051297,15969744.8194,1022063668.44,0.978412628174
optimized_v4,8192,64,1,1,4,437928,42,330132.910215,0.000437928,18706271.3505,1197201366.43,0.83528137207
optimized_v4,8192,64,1,1,5,852446,42,330132.910215,0.000852446,9609992.89105,615039545.027,1.62591171265
optimized_v4,8192,64,1,1,6,890985,42,330132.910215,0.000890985,9194318.64734,588436393.43,1.69941902161
optimized_v4,8192,4096,1,2,1,22180486,42,22068289.6236,0.022180486,369333.656621,1512790657.52,0.661029994488
optimized_v4,8192,4096,1,2,2,22682821,42,22068289.6236,0.022682821,361154.373171,1479288312.51,0.676000744104
optimized_v4,8192,4096,1,2,3,22274729,42,22068289.6236,0.022274729,367771.028774,1506390133.86,0.663838654757
optimized_v4,8192,4096,1,2,4,22492659,42,22068289.6236,0.022492659,364207.717727,1491794811.81,0.670333474874
optimized_v4,8192,4096,1,2,5,22686173,42,22068289.6236,0.022686173,361101.010735,1479069739.97,0.676100641489
optimized_v4,8192,4096,1,2,6,22048582,42,22068289.6236,0.022048582,371543.167719,1521840814.98,0.657098948956
optimized_v4,8192,256,1,3,1,1423963,42,1301273.52326,0.001423963,5752958.46872,1472757367.99,0.678998470306
optimized_v4,8192,256,1,3,2,1412254,42,1301273.52326,0.001412254,5800656.25589,1484968001.51,0.673415184021
optimized_v4,8192,256,1,3,3,1555479,42,1301273.52326,0.001555479,5266544.90353,1348235495.3,0.741710186005
optimized_v4,8192,256,1,3,4,1319108,42,1301273.52326,0.001319108,6210257.23443,1589825852.02,0.628999710083
optimized_v4,8192,256,1,3,5,1264039,42,1301273.52326,0.001264039,6480812.69644,1659088050.29,0.602740764618
optimized_v4,8192,256,1,3,6,1228246,42,1301273.52326,0.001228246,6669673.66472,1707436458.17,0.585673332214
baseline_v3,8192,32,1,4,1,178922,42,176382.847261,0.000178922,45785314.271,1465130056.67,0.68253326416
baseline_v3,8192,32,1,4,2,223525,42,176382.847261,0.000223525,36649144.391,1172772620.51,0.852680206299
baseline_v3,8192,32,1,4,3,177619,42,176382.847261,0.000177619,46121191.9896,1475878143.67,0.677562713623
baseline_v3,8192,32,1,4,4,176779,42,176382.847261,0.000176779,46340345.8556,1482891067.38,0.67435836792
baseline_v3,8192,32,1,4,5,173661,42,176382.847261,0.000173661,47172364.5493,1509515665.58,0.662464141846
baseline_v3,8192,32,1,4,6,173313,42,176382.847261,0.000173313,47267083.254,1512546664.13,0.661136627197
baseline_v3,8192,64,1,5,1,533964,42,330132.910215,0.000533964,15341858.2526,981878928.167,1.01845550537
baseline_v3,8192,64,1,5,2,477196,42,330132.910215,0.000477196,17166950.2678,1098684817.14,0.910179138184
baseline_v3,8192,64,1,5,3,453650,42,330132.910215,0.00045365,18057974.2092,1155710349.39,0.865268707275
baseline_v3,8192,64,1,5,4,472398,42,330132.910215,0.000472398,17341309.6584,1109843818.14,0.901027679443
baseline_v3,8192,64,1,5,5,508414,42,330132.910215,0.000508414,16112852.9112,1031222586.32,0.969722747803
baseline_v3,8192,64,1,5,6,476061,42,330132.910215,0.000476061,17207878.8223,1101304244.62,0.908014297485
optimized_v4,8192,1024,1,6,1,6271916,42,5385565.36728,0.006271916,1306139.94193,1337487300.53,0.747670650482
optimized_v4,8192,1024,1,6,2,6064733,42,5385565.36728,0.006064733,1350760.20659,1383178451.55,0.722972512245
optimized_v4,8192,1024,1,6,3,6105025,42,5385565.36728,0.006105025,1341845.44699,1374049737.72,0.72777569294
optimized_v4,8192,1024,1,6,4,5621738,42,5385565.36728,0.005621738,1457200.60238,1492173416.83,0.670163393021
optimized_v4,8192,1024,1,6,5,5032564,42,5385565.36728,0.005032564,1627798.4741,1666865637.48,0.599928379059
optimized_v4,8192,1024,1,6,6,5184301,42,5385565.36728,0.005184301,1580155.1646,1618078888.55,0.618016839027
optimized_v4,8192,512,1,7,1,2343515,42,2682111.50325,0.002343515,3495603.82588,1789749158.85,0.558737516403
optimized_v4,8192,512,1,7,2,2346720,42,2682111.50325,0.00234672,3490829.75387,1787304833.98,0.559501647949
optimized_v4,8192,512,1,7,3,2468244,42,2682111.50325,0.002468244,3318958.74152,1699306875.66,0.588475227356
optimized_v4,8192,512,1,7,4,2410840,42,2682111.50325,0.00241084,3397985.7643,1739768711.32,0.574789047241
optimized_v4,8192,512,1,7,5,2472015,42,2682111.50325,0.002472015,3313895.74901,1696714623.5,0.589374303818
optimized_v4,8192,512,1,7,6,2472700,42,2682111.50325,0.0024727,3312977.71667,1696244590.93,0.589537620544
baseline_v3,8192,4096,1,8,1,35699211,42,22068289.6236,0.035699211,229472.858658,939920829.063,1.06391939521
baseline_v3,8192,4096,1,8,2,36214143,42,22068289.6236,0.036214143,226209.964433,926556014.317,1.07926556468
baseline_v3,8192,4096,1,8,3,36243308,42,22068289.6236,0.036243308,226027.933212,925810414.436,1.08013474941
baseline_v3,8192,4096,1,8,4,36200722,42,22068289.6236,0.036200722,226293.829167,926899524.269,1.07886558771
baseline_v3,8192,4096,1,8,5,36458176,42,22068289.6236,0.036458176,224695.826802,920354106.58,1.08653831482
baseline_v3,8192,4096,1,8,6,35854211,42,22068289.6236,0.035854211,228480.833116,935857492.443,1.06853875518
optimized_v4,8192,32,1,9,1,136479,42,176382.847261,0.000136479,60023886.4587,1920764366.68,0.520626068115
optimized_v4,8192,32,1,9,2,123557,42,176382.847261,0.000123557,66301383.1673,2121644261.35,0.471332550049
optimized_v4,8192,32,1,9,3,109028,42,176382.847261,0.000109028,75136662.1418,2404373188.54,0.415908813477
optimized_v4,8192,32,1,9,4,101338,42,176382.847261,0.000101338,80838382.4429,2586828238.17,0.386573791504
optimized_v4,8192,32,1,9,5,97695,42,176382.847261,9.7695e-05,83852807.2061,2683289830.6,0.372676849365
optimized_v4,8192,32,1,9,6,98154,42,176382.847261,9.8154e-05,83460684.2309,2670741895.39,0.37442779541
optimized_v4,8192,128,1,10,1,603784,42,642254.941847,0.000603784,13567765.956,1736674042.37,0.575813293457
optimized_v4,8192,128,1,10,2,572384,42,642254.941847,0.000572384,14312070.2186,1831944987.98,0.545867919922
optimized_v4,8192,128,1,10,3,603345,42,642254.941847,0.000603345,13577638.0015,1737937664.19,0.575394630432
optimized_v4,8192,128,1,10,4,587368,42,642254.941847,0.000587368,13946963.4028,1785211315.56,0.560157775879
optimized_v4,8192,128,1,10,5,830711,42,642254.941847,0.000830711,9861431.95407,1262263290.12,0.792227745056
optimized_v4,8192,128,1,10,6,772110,42,642254.941847,0.00077211,10609887.1922,1358065560.61,0.73634147644
baseline_v3,8192,512,1,11,1,4345655,42,2682111.50325,0.004345655,1885101.32535,965171878.578,1.03608489037
baseline_v3,8192,512,1,11,2,4198424,42,2682111.50325,0.004198424,1951208.35818,999018679.39,1.00098228455
baseline_v3,8192,512,1,11,3,4652317,42,2682111.50325,0.004652317,1760843.038,901551635.454,1.10919880867
baseline_v3,8192,512,1,11,4,4467773,42,2682111.50325,0.004467773,1833575.69868,938790757.722,1.06520009041
baseline_v3,8192,512,1,11,5,4384554,42,2682111.50325,0.004384554,1868377.03447,956609041.649,1.04535913467
