variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
optimized_v4,16384,64,1,1,1,670391,42,660083.65979530779
optimized_v4,16384,64,1,1,2,647860,42,660083.65979530779
optimized_v4,16384,64,1,1,3,764101,42,660083.65979530779
optimized_v4,16384,64,1,1,4,819585,42,660083.65979530779
optimized_v4,16384,64,1,1,5,774932,42,660083.65979530779
optimized_v4,16384,64,1,1,6,796089,42,660083.65979530779
optimized_v4,16384,4096,1,2,1,48037658,42,44120056.654433712
optimized_v4,16384,4096,1,2,2,47100737,42,44120056.654433712
optimized_v4,16384,4096,1,2,3,55459549,42,44120056.654433712
optimized_v4,16384,4096,1,2,4,46661093,42,44120056.654433712
optimized_v4,16384,4096,1,2,5,48076411,42,44120056.654433712
optimized_v4,16384,4096,1,2,6,52636222,42,44120056.654433712
optimized_v4,16384,256,1,3,1,2742434,42,2602783.1043406166
optimized_v4,16384,256,1,3,2,2528395,42,2602783.1043406166
optimized_v4,16384,256,1,3,3,2554963,42,2602783.1043406166
optimized_v4,16384,256,1,3,4,2743430,42,2602783.1043406166
optimized_v4,16384,256,1,3,5,2720193,42,2602783.1043406166
optimized_v4,16384,256,1,3,6,2865882,42,2602783.1043406166
baseline_v3,16384,32,1,4,1,426868,42,352736.71994500834
baseline_v3,16384,32,1,4,2,467422,42,352736.71994500834
baseline_v3,16384,32,1,4,3,398109,42,352736.71994500834
baseline_v3,16384,32,1,4,4,422018,42,352736.71994500834
baseline_v3,16384,32,1,4,5,437465,42,352736.71994500834
baseline_v3,16384,32,1,4,6,405177,42,352736.71994500834
baseline_v3,16384,64,1,5,1,1182057,42,660083.65979530779
baseline_v3,16384,64,1,5,2,1014663,42,660083.65979530779
baseline_v3,16384,64,1,5,3,1059107,42,660083.65979530779
baseline_v3,16384,64,1,5,4,1148613,42,660083.65979530779
baseline_v3,16384,64,1,5,5,1050383,42,660083.65979530779
baseline_v3,16384,64,1,5,6,953999,42,660083.65979530779
optimized_v4,16384,1024,1,6,1,10485586,42,10771937.672788229
optimized_v4,16384,1024,1,6,2,10822852,42,10771937.672788229
optimized_v4,16384,1024,1,6,3,11477756,42,10771937.672788229
optimized_v4,16384,1024,1,6,4,11190690,42,10771937.672788229
optimized_v4,16384,1024,1,6,5,11151905,42,10771937.672788229
optimized_v4,16384,1024,1,6,6,11488526,42,10771937.672788229
optimized_v4,16384,512,1,7,1,5218998,42,5365761.8426366011
optimized_v4,16384,512,1,7,2,5147031,42,5365761.8426366011
optimized_v4,16384,512,1,7,3,6019990,42,5365761.8426366011
optimized_v4,16384,512,1,7,4,5106963,42,5365761.8426366011
optimized_v4,16384,512,1,7,5,5692211,42,5365761.8426366011
optimized_v4,16384,512,1,7,6,6103423,42,5365761.8426366011
baseline_v3,16384,4096,1,8,1,74165747,42,44120056.654433712
baseline_v3,16384,4096,1,8,2,74798111,42,44120056.654433712
baseline_v3,16384,4096,1,8,3,77688172,42,44120056.654433712
baseline_v3,16384,4096,1,8,4,75051560,42,44120056.654433712
baseline_v3,16384,4096,1,8,5,70432740,42,44120056.654433712
baseline_v3,16384,4096,1,8,6,70054143,42,44120056.654433712
optimized_v4,16384,32,1,9,1,359382,42,352736.71994500834
optimized_v4,16384,32,1,9,2,298767,42,352736.71994500834
optimized_v4,16384,32,1,9,3,315365,42,352736.71994500834
optimized_v4,16384,32,1,9,4,452217,42,352736.71994500834
optimized_v4,16384,32,1,9,5,426718,42,352736.71994500834
optimized_v4,16384,32,1,9,6,368268,42,352736.71994500834
optimized_v4,16384,128,1,10,1,1292889,42,1284671.2712755087
optimized_v4,16384,128,1,10,2,1235128,42,1284671.2712755087
optimized_v4,16384,128,1,10,3,1266065,42,1284671.2712755087
optimized_v4,16384,128,1,10,4,1653762,42,1284671.2712755087
optimized_v4,16384,128,1,10,5,1835543,42,1284671.2712755087
optimized_v4,16384,128,1,10,6,1502344,42,1284671.2712755087
baseline_v3,16384,512,1,11,1,11428818,42,5365761.8426366011
baseline_v3,16384,512,1,11,2,10971659,42,5365761.8426366011
baseline_v3,16384,512,1,11,3,9381374,42,5365761.8426366011
baseline_v3,16384,512,1,11,4,9613002,42,5365761.8426366011
baseline_v3,16384,512,1,11,5,9210709,42,5365761.8426366011
baseline_v3,16384,512,1,11,6,9482990,42,5365761.8426366011
baseline_v3,16384,2048,1,12,1,35663038,42,21978482.187348239
baseline_v3,16384,2048,1,12,2,35506666,42,21978482.187348239
baseline_v3,16384,2048,1,12,3,36571977,42,21978482.187348239
baseline_v3,16384,2048,1,12,4,41718810,42,21978482.187348239
baseline_v3,16384,2048,1,12,5,37896827,42,21978482.187348239
baseline_v3,16384,2048,1,12,6,38193901,42,21978482.187348239
baseline_v3,16384,256,1,13,1,4974905,42,2602783.1043406166
baseline_v3,16384,256,1,13,2,4772898,42,2602783.1043406166
