variant,N,T,measurements,mean_time_s,median_time_s,std_time_s,cv_time_pct,min_time_s,q1_time_s,q3_time_s,max_time_s,median_vectors_per_s,median_elements_per_s,median_ns_per_element
baseline_v3,8192,32,30,0.000244307333333,0.0002133465,7.55659669064e-05,30.9306994086,0.000173313,0.00018998525,0.000289499,0.000492369,38399092.2953,1228770953.45,0.813852310181
optimized_v4,8192,32,30,0.000147615933333,0.0001378545,3.83000052642e-05,25.9457122272,9.7695e-05,0.000115861,0.0001772745,0.000241159,59429472.8931,1901743132.58,0.525873184204
baseline_v3,8192,64,30,0.000491327366667,0.0004708525,5.6850482826e-05,11.5707950916,0.00041779,0.00045617775,0.000507237,0.000653105,17398417.2534,1113498704.22,0.898079872131
optimized_v4,8192,64,30,0.0003812996,0.000324533,0.000153862696153,40.3521787469,0.000256796,0.0002928405,0.0003876715,0.000890985,25243344.1405,1615574024.99,0.618997573853
baseline_v3,8192,128,30,0.00110902456667,0.0010760395,0.000100993790216,9.10654220394,0.000973847,0.00103060125,0.00121349,0.001322063,7613110.41823,974478133.533,1.02619123459
optimized_v4,8192,128,30,0.000690882433333,0.000633295,0.000166255268998,24.0641910948,0.000569594,0.00059814875,0.000722227,0.001446088,12937269.5315,1655970500.03,0.603957176208
baseline_v3,8192,256,30,0.00226901406667,0.0022369305,0.000150172059952,6.61838382397,0.002085995,0.00213111775,0.0023976235,0.002528518,3662179.06244,937517839.985,1.06665158272
optimized_v4,8192,256,30,0.00142807926667,0.001363555,0.000193055372307,13.5185333765,0.001225437,0.001272648,0.001545711,0.001896174,6008080.11568,1538068509.61,0.650193691254
baseline_v3,8192,512,30,0.00457085313333,0.004471262,0.000305725774237,6.68859325205,0.004198424,0.0043428395,0.00477902275,0.005162065,1832146.04469,938058774.88,1.06603193283
optimized_v4,8192,512,30,0.00259852093333,0.0024723575,0.000284524702071,10.9494866261,0.002343515,0.00238525975,0.00271864975,0.003280856,3313436.73284,1696479607.21,0.589455962181
baseline_v3,8192,1024,30,0.00916660253333,0.009092691,0.000288320063399,3.14533178841,0.008767113,0.00895452,0.0092532705,0.009872687,900944.693657,922567366.305,1.08393323421
optimized_v4,8192,1024,30,0.0057531316,0.0055945715,0.000698738578971,12.1453606062,0.004704043,0.00524927575,0.006301445,0.00698095,1464311.10362,1499454570.1,0.666924893856
baseline_v3,8192,2048,30,0.0185870086333,0.01835221,0.00113512696357,6.10709870514,0.017237779,0.0177567575,0.0188098785,0.021369665,446377.082084,914180264.108,1.09387695789
optimized_v4,8192,2048,30,0.01060652,0.010404623,0.000891007342625,8.40056250896,0.00951895,0.009983292,0.01090029075,0.013618248,787346.167641,1612484951.33,0.620163857937
baseline_v3,8192,4096,30,0.0376485935,0.037829915,0.00148167992639,3.93555187231,0.034633424,0.0363282695,0.03866092,0.040798527,216551.798005,886996164.627,1.12741932273
optimized_v4,8192,4096,30,0.0246821363333,0.023910459,0.00239733710414,9.71284280971,0.021783595,0.022683659,0.0259183215,0.03027358,342662.432341,1403545322.87,0.712587207556
