variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
baseline_v3,8192,2048,1,1,1,18995284,42,10990127.950575292
baseline_v3,8192,2048,1,1,2,17989188,42,10990127.950575292
baseline_v3,8192,2048,1,1,3,18131232,42,10990127.950575292
baseline_v3,8192,2048,1,1,4,18243939,42,10990127.950575292
baseline_v3,8192,2048,1,1,5,18031540,42,10990127.950575292
baseline_v3,8192,2048,1,1,6,17961316,42,10990127.950575292
baseline_v3,8192,4096,1,2,1,35907785,42,22068289.623616572
baseline_v3,8192,4096,1,2,2,35863295,42,22068289.623616572
baseline_v3,8192,4096,1,2,3,36133232,42,22068289.623616572
baseline_v3,8192,4096,1,2,4,36313182,42,22068289.623616572
baseline_v3,8192,4096,1,2,5,36306195,42,22068289.623616572
baseline_v3,8192,4096,1,2,6,36750678,42,22068289.623616572
baseline_v3,8192,512,1,3,1,4330168,42,2682111.5032506357
baseline_v3,8192,512,1,3,2,4588270,42,2682111.5032506357
baseline_v3,8192,512,1,3,3,4183221,42,2682111.5032506357
baseline_v3,8192,512,1,3,4,4242237,42,2682111.5032506357
baseline_v3,8192,512,1,3,5,4326242,42,2682111.5032506357
baseline_v3,8192,512,1,3,6,4503361,42,2682111.5032506357
baseline_v3,8192,256,1,4,1,2146304,42,1301273.5232591585
baseline_v3,8192,256,1,4,2,2227339,42,1301273.5232591585
baseline_v3,8192,256,1,4,3,2206957,42,1301273.5232591585
baseline_v3,8192,256,1,4,4,2363282,42,1301273.5232591585
baseline_v3,8192,256,1,4,5,2603208,42,1301273.5232591585
baseline_v3,8192,256,1,4,6,2194071,42,1301273.5232591585
baseline_v3,8192,64,1,5,1,427768,42,330132.91021454724
baseline_v3,8192,64,1,5,2,496836,42,330132.91021454724
baseline_v3,8192,64,1,5,3,445845,42,330132.91021454724
baseline_v3,8192,64,1,5,4,473191,42,330132.91021454724
baseline_v3,8192,64,1,5,5,487248,42,330132.91021454724
baseline_v3,8192,64,1,5,6,490057,42,330132.91021454724
baseline_v3,8192,1024,1,6,1,8614730,42,5385565.3672759794
baseline_v3,8192,1024,1,6,2,9326807,42,5385565.3672759794
baseline_v3,8192,1024,1,6,3,8684702,42,5385565.3672759794
baseline_v3,8192,1024,1,6,4,9226734,42,5385565.3672759794
baseline_v3,8192,1024,1,6,5,8638393,42,5385565.3672759794
baseline_v3,8192,1024,1,6,6,9527125,42,5385565.3672759794
baseline_v3,8192,128,1,7,1,1328488,42,642254.94184737862
baseline_v3,8192,128,1,7,2,1154433,42,642254.94184737862
baseline_v3,8192,128,1,7,3,1019489,42,642254.94184737862
baseline_v3,8192,128,1,7,4,1022069,42,642254.94184737862
baseline_v3,8192,128,1,7,5,1022548,42,642254.94184737862
baseline_v3,8192,128,1,7,6,1015602,42,642254.94184737862
baseline_v3,8192,32,1,8,1,302978,42,176382.84726097801
baseline_v3,8192,32,1,8,2,315003,42,176382.84726097801
baseline_v3,8192,32,1,8,3,277746,42,176382.84726097801
baseline_v3,8192,32,1,8,4,269006,42,176382.84726097801
baseline_v3,8192,32,1,8,5,307455,42,176382.84726097801
baseline_v3,8192,32,1,8,6,583870,42,176382.84726097801
baseline_v3,8192,128,2,1,7,1196696,42,642254.94184737862
baseline_v3,8192,128,2,1,8,1067653,42,642254.94184737862
baseline_v3,8192,128,2,1,9,1058931,42,642254.94184737862
baseline_v3,8192,128,2,1,10,1219555,42,642254.94184737862
baseline_v3,8192,128,2,1,11,1049357,42,642254.94184737862
baseline_v3,8192,128,2,1,12,1067032,42,642254.94184737862
baseline_v3,8192,1024,2,2,7,8735124,42,5385565.3672759794
baseline_v3,8192,1024,2,2,8,8827501,42,5385565.3672759794
baseline_v3,8192,1024,2,2,9,8926399,42,5385565.3672759794
baseline_v3,8192,1024,2,2,10,9005134,42,5385565.3672759794
baseline_v3,8192,1024,2,2,11,8900813,42,5385565.3672759794
baseline_v3,8192,1024,2,2,12,9096072,42,5385565.3672759794
baseline_v3,8192,256,2,3,7,2045812,42,1301273.5232591585
baseline_v3,8192,256,2,3,8,2279876,42,1301273.5232591585
baseline_v3,8192,256,2,3,9,2362358,42,1301273.5232591585
baseline_v3,8192,256,2,3,10,2180699,42,1301273.5232591585
baseline_v3,8192,256,2,3,11,2155281,42,1301273.5232591585
baseline_v3,8192,256,2,3,12,2160665,42,1301273.5232591585
baseline_v3,8192,64,2,4,7,484960,42,330132.91021454724
baseline_v3,8192,64,2,4,8,454818,42,330132.91021454724
baseline_v3,8192,64,2,4,9,421778,42,330132.91021454724
baseline_v3,8192,64,2,4,10,466492,42,330132.91021454724
baseline_v3,8192,64,2,4,11,425013,42,330132.91021454724
baseline_v3,8192,64,2,4,12,533006,42,330132.91021454724
baseline_v3,8192,32,2,5,7,276376,42,176382.84726097801
baseline_v3,8192,32,2,5,8,314277,42,176382.84726097801
baseline_v3,8192,32,2,5,9,300012,42,176382.84726097801
baseline_v3,8192,32,2,5,10,237419,42,176382.84726097801
baseline_v3,8192,32,2,5,11,282922,42,176382.84726097801
baseline_v3,8192,32,2,5,12,280045,42,176382.84726097801
baseline_v3,8192,4096,2,6,7,37188060,42,22068289.623616572
baseline_v3,8192,4096,2,6,8,37095482,42,22068289.623616572
baseline_v3,8192,4096,2,6,9,37577011,42,22068289.623616572
baseline_v3,8192,4096,2,6,10,38192604,42,22068289.623616572
baseline_v3,8192,4096,2,6,11,36909254,42,22068289.623616572
baseline_v3,8192,4096,2,6,12,36842784,42,22068289.623616572
baseline_v3,8192,512,2,7,7,4299745,42,2682111.5032506357
baseline_v3,8192,512,2,7,8,5062209,42,2682111.5032506357
baseline_v3,8192,512,2,7,9,4532524,42,2682111.5032506357
baseline_v3,8192,512,2,7,10,4965545,42,2682111.5032506357
baseline_v3,8192,512,2,7,11,4879279,42,2682111.5032506357
baseline_v3,8192,512,2,7,12,4574010,42,2682111.5032506357
baseline_v3,8192,2048,2,8,7,19567546,42,10990127.950575292
baseline_v3,8192,2048,2,8,8,19237934,42,10990127.950575292
baseline_v3,8192,2048,2,8,9,20045351,42,10990127.950575292
baseline_v3,8192,2048,2,8,10,18949192,42,10990127.950575292
baseline_v3,8192,2048,2,8,11,19737317,42,10990127.950575292
baseline_v3,8192,2048,2,8,12,20002845,42,10990127.950575292
baseline_v3,8192,1024,3,1,13,9325919,42,5385565.3672759794
baseline_v3,8192,1024,3,1,14,8704585,42,5385565.3672759794
baseline_v3,8192,1024,3,1,15,9333550,42,5385565.3672759794
baseline_v3,8192,1024,3,1,16,9485724,42,5385565.3672759794
baseline_v3,8192,1024,3,1,17,8813638,42,5385565.3672759794
baseline_v3,8192,1024,3,1,18,9223277,42,5385565.3672759794
baseline_v3,8192,4096,3,2,13,39408026,42,22068289.623616572
baseline_v3,8192,4096,3,2,14,38214725,42,22068289.623616572
baseline_v3,8192,4096,3,2,15,37182886,42,22068289.623616572
baseline_v3,8192,4096,3,2,16,36847048,42,22068289.623616572
baseline_v3,8192,4096,3,2,17,36487890,42,22068289.623616572
baseline_v3,8192,4096,3,2,18,36892529,42,22068289.623616572
baseline_v3,8192,64,3,3,13,592575,42,330132.91021454724
baseline_v3,8192,64,3,3,14,550148,42,330132.91021454724
baseline_v3,8192,64,3,3,15,462921,42,330132.91021454724
baseline_v3,8192,64,3,3,16,480142,42,330132.91021454724
baseline_v3,8192,64,3,3,17,442396,42,330132.91021454724
baseline_v3,8192,64,3,3,18,468486,42,330132.91021454724
baseline_v3,8192,32,3,4,13,277426,42,176382.84726097801
baseline_v3,8192,32,3,4,14,288520,42,176382.84726097801
baseline_v3,8192,32,3,4,15,268507,42,176382.84726097801
baseline_v3,8192,32,3,4,16,352906,42,176382.84726097801
baseline_v3,8192,32,3,4,17,263607,42,176382.84726097801
baseline_v3,8192,32,3,4,18,257210,42,176382.84726097801
baseline_v3,8192,128,3,5,13,1037968,42,642254.94184737862
baseline_v3,8192,128,3,5,14,1022625,42,642254.94184737862
baseline_v3,8192,128,3,5,15,1030609,42,642254.94184737862
baseline_v3,8192,128,3,5,16,1142251,42,642254.94184737862
baseline_v3,8192,128,3,5,17,1085990,42,642254.94184737862
baseline_v3,8192,128,3,5,18,999837,42,642254.94184737862
baseline_v3,8192,2048,3,6,13,18889842,42,10990127.950575292
baseline_v3,8192,2048,3,6,14,19054876,42,10990127.950575292
baseline_v3,8192,2048,3,6,15,19634199,42,10990127.950575292
baseline_v3,8192,2048,3,6,16,18781580,42,10990127.950575292
baseline_v3,8192,2048,3,6,17,19667620,42,10990127.950575292
baseline_v3,8192,2048,3,6,18,18961636,42,10990127.950575292
baseline_v3,8192,256,3,7,13,2374700,42,1301273.5232591585
baseline_v3,8192,256,3,7,14,2176812,42,1301273.5232591585
baseline_v3,8192,256,3,7,15,2385509,42,1301273.5232591585
baseline_v3,8192,256,3,7,16,2534216,42,1301273.5232591585
baseline_v3,8192,256,3,7,17,2293421,42,1301273.5232591585
baseline_v3,8192,256,3,7,18,2186001,42,1301273.5232591585
baseline_v3,8192,512,3,8,13,5216579,42,2682111.5032506357
baseline_v3,8192,512,3,8,14,4727791,42,2682111.5032506357
baseline_v3,8192,512,3,8,15,4551225,42,2682111.5032506357
baseline_v3,8192,512,3,8,16,5099029,42,2682111.5032506357
baseline_v3,8192,512,3,8,17,4395101,42,2682111.5032506357
baseline_v3,8192,512,3,8,18,4694236,42,2682111.5032506357
baseline_v3,8192,2048,4,1,19,19197383,42,10990127.950575292
baseline_v3,8192,2048,4,1,20,19566803,42,10990127.950575292
baseline_v3,8192,2048,4,1,21,19836766,42,10990127.950575292
baseline_v3,8192,2048,4,1,22,18907673,42,10990127.950575292
baseline_v3,8192,2048,4,1,23,18657567,42,10990127.950575292
baseline_v3,8192,2048,4,1,24,18700222,42,10990127.950575292
baseline_v3,8192,1024,4,2,19,9560316,42,5385565.3672759794
baseline_v3,8192,1024,4,2,20,8820043,42,5385565.3672759794
baseline_v3,8192,1024,4,2,21,9325831,42,5385565.3672759794
baseline_v3,8192,1024,4,2,22,9038769,42,5385565.3672759794
baseline_v3,8192,1024,4,2,23,9194477,42,5385565.3672759794
baseline_v3,8192,1024,4,2,24,8997643,42,5385565.3672759794
baseline_v3,8192,128,4,3,19,1029700,42,642254.94184737862
baseline_v3,8192,128,4,3,20,1151787,42,642254.94184737862
baseline_v3,8192,128,4,3,21,1058091,42,642254.94184737862
baseline_v3,8192,128,4,3,22,1002954,42,642254.94184737862
baseline_v3,8192,128,4,3,23,977338,42,642254.94184737862
baseline_v3,8192,128,4,3,24,1030372,42,642254.94184737862
baseline_v3,8192,4096,4,4,19,36248236,42,22068289.623616572
baseline_v3,8192,4096,4,4,20,35828038,42,22068289.623616572
baseline_v3,8192,4096,4,4,21,35334334,42,22068289.623616572
baseline_v3,8192,4096,4,4,22,36421022,42,22068289.623616572
baseline_v3,8192,4096,4,4,23,36027707,42,22068289.623616572
baseline_v3,8192,4096,4,4,24,36095927,42,22068289.623616572
baseline_v3,8192,512,4,5,19,4608858,42,2682111.5032506357
baseline_v3,8192,512,4,5,20,4671162,42,2682111.5032506357
baseline_v3,8192,512,4,5,21,4751216,42,2682111.5032506357
baseline_v3,8192,512,4,5,22,4323455,42,2682111.5032506357
baseline_v3,8192,512,4,5,23,4454705,42,2682111.5032506357
baseline_v3,8192,512,4,5,24,4795384,42,2682111.5032506357
baseline_v3,8192,32,4,6,19,223340,42,176382.84726097801
baseline_v3,8192,32,4,6,20,220954,42,176382.84726097801
baseline_v3,8192,32,4,6,21,216061,42,176382.84726097801
baseline_v3,8192,32,4,6,22,219557,42,176382.84726097801
baseline_v3,8192,32,4,6,23,235264,42,176382.84726097801
baseline_v3,8192,32,4,6,24,218478,42,176382.84726097801
baseline_v3,8192,256,4,7,19,2300305,42,1301273.5232591585
baseline_v3,8192,256,4,7,20,2452015,42,1301273.5232591585
